Churn;Gender;SeniorCitizen;Partner;Dependents;Tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;DailyCharges;MonthlyCharges;AvgServiceCost;TotalCharges;ServiceCount;TenureGroup;Churn_binary
Yes;Male;No;No;No;70;Yes;Yes;Fiber optic;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);103,57;104,0;20,8;7250,15;5;61–72;1
No;Female;Yes;No;No;3;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;65,47;73,85;36,925;196,4;2;0–12;0
No;Male;No;Yes;Yes;2;Yes;No;Dsl;Yes;Yes;No;Yes;No;No;Two year;No;Mailed check;65,25;59,5;14,875;130,5;4;0–12;0
Yes;Female;No;No;No;1;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;44,1;44,1;44,1;44,1;1;0–12;1
No;Female;No;Yes;Yes;58;No;No;Dsl;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);54,6;55,5;13,875;3166,9;4;49–60;0
No;Male;No;No;No;13;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);73,59;73,75;36,875;956,65;2;13–24;0
No;Male;No;No;No;10;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Electronic check;18,54;20,0;20,0;185,4;1;0–12;0
No;Male;Yes;Yes;Yes;66;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;119,12;116,25;16,607142857142858;7862,25;7;61–72;0
No;Male;No;Yes;No;56;Yes;No;Fiber optic;No;No;No;No;No;Yes;One year;Yes;Electronic check;81,38;80,9;40,45;4557,5;2;49–60;0
Yes;Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,65;69,65;69,65;69,65;1;0–12;1
No;Female;No;Yes;No;71;No;No;Dsl;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Bank transfer (automatic);47,57;47,6;11,9;3377,8;4;61–72;0
No;Male;No;No;No;56;Yes;Yes;Dsl;Yes;Yes;No;Yes;No;No;One year;Yes;Bank transfer (automatic);65,46;64,65;16,1625;3665,55;4;49–60;0
Yes;Male;No;No;No;24;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93,27;90,35;30,116666666666664;2238,5;3;13–24;1
Yes;Male;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;20,0;20,0;20,0;20,0;1;0–12;1
No;Female;No;Yes;Yes;55;Yes;Yes;Dsl;Yes;Yes;No;Yes;No;Yes;One year;Yes;Bank transfer (automatic);77,53;75,75;15,15;4264,25;5;49–60;0
No;Male;No;Yes;Yes;42;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;19,73;20,7;20,7;828,85;1;37–48;0
No;Female;No;Yes;Yes;42;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;92,27;92,15;23,0375;3875,4;4;37–48;0
No;Male;No;No;No;14;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);21,46;19,6;19,6;300,4;1;13–24;0
No;Male;Yes;Yes;Yes;10;No;No;Dsl;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);36,26;34,55;34,55;362,6;1;0–12;0
No;Female;No;Yes;Yes;22;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);25,25;25,25;25,25;555,4;1;13–24;0
Yes;Male;No;Yes;Yes;32;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);73,37;69,75;69,75;2347,9;1;25–36;1
No;Male;No;Yes;No;39;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);20,26;20,45;20,45;790,0;1;37–48;0
No;Female;Yes;No;No;57;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;No;Yes;Two year;No;Credit card (automatic);101,4;101,3;20,259999999999998;5779,6;5;49–60;0
No;Female;Yes;No;No;8;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;89,2;87,1;29,03333333333333;713,6;3;0–12;0
No;Male;No;No;No;63;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;No;No;One year;No;Electronic check;72,64;71,5;14,3;4576,3;5;61–72;0
No;Female;No;Yes;Yes;61;No;No;Dsl;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);61,49;61,45;12,290000000000001;3751,15;5;61–72;0
Yes;Male;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;19,8;19,8;19,8;19,8;1;0–12;1
No;Female;No;No;No;50;Yes;No;No;No;No;No;No;No;No;One year;Yes;Mailed check;20,66;19,35;19,35;1033,0;1;49–60;0
Yes;Male;Yes;Yes;No;11;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;19,52;19,95;19,95;214,75;1;0–12;1
No;Male;No;Yes;Yes;35;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);23,12;25,45;25,45;809,25;1;25–36;0
Yes;Female;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;20,15;20,15;20,15;20,15;1;0–12;1
No;Female;No;Yes;Yes;72;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;No;Two year;No;Bank transfer (automatic);79,36;80,2;13,366666666666667;5714,2;6;61–72;0
Yes;Female;Yes;No;No;29;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;No;Electronic check;98,72;98,65;24,6625;2862,75;4;25–36;1
No;Male;No;No;No;29;Yes;Yes;Dsl;No;Yes;Yes;No;No;Yes;One year;No;Credit card (automatic);67,74;70,9;17,725;1964,6;4;25–36;0
Yes;Male;No;Yes;No;5;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;25,21;19,35;19,35;126,05;1;0–12;1
Yes;Male;No;No;No;11;No;No;Dsl;No;No;Yes;No;Yes;No;One year;Yes;Electronic check;42,78;41,6;20,8;470,6;2;0–12;1
No;Male;No;Yes;Yes;54;Yes;Yes;Dsl;No;Yes;No;Yes;Yes;No;One year;Yes;Electronic check;69,81;70,7;17,675;3770,0;4;49–60;0
No;Female;Yes;No;No;49;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;One year;Yes;Bank transfer (automatic);87,49;89,85;22,4625;4287,2;4;49–60;0
No;Male;Yes;Yes;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);109,7;109,7;18,283333333333335;7898,45;6;61–72;0
Yes;Male;No;Yes;Yes;9;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);73,47;79,35;39,675;661,25;2;0–12;1
Yes;Female;No;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94,6;94,6;31,53333333333333;94,6;3;0–12;1
Yes;Female;No;No;Yes;31;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);87,01;86,55;43,275;2697,4;2;25–36;1
No;Female;No;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;84,6;84,6;42,3;84,6;2;0–12;0
Yes;Male;Yes;Yes;Yes;56;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);103,48;104,55;20,91;5794,65;5;49–60;1
No;Male;No;Yes;Yes;70;Yes;Yes;Dsl;Yes;No;Yes;No;Yes;No;Two year;No;Credit card (automatic);69,41;68,95;17,2375;4858,7;4;61–72;0
No;Female;Yes;Yes;No;55;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;No;Electronic check;91,72;90,45;22,6125;5044,8;4;49–60;0
Yes;Male;No;No;No;3;Yes;No;Dsl;No;No;No;No;Yes;No;Month-to-month;No;Credit card (automatic);62,9;53,4;26,7;188,7;2;0–12;1
Yes;Male;No;Yes;Yes;5;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;90,75;84,5;28,166666666666668;453,75;3;0–12;1
Yes;Male;No;No;Yes;3;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;73,37;69,65;69,65;220,1;1;0–12;1
No;Female;No;Yes;No;26;Yes;No;Dsl;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);73,3;73,5;14,7;1905,7;5;25–36;0
No;Female;No;No;No;25;Yes;No;Dsl;No;Yes;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);67,19;65,8;16,45;1679,65;4;25–36;0
Yes;Male;No;No;No;15;Yes;Yes;Dsl;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);62,65;58,6;19,533333333333335;939,7;3;13–24;1
No;Female;No;Yes;No;31;Yes;No;Dsl;No;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;48,34;49,2;24,6;1498,55;2;25–36;0
No;Male;No;Yes;No;2;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;85,72;91,45;30,483333333333334;171,45;3;0–12;0
Yes;Female;No;No;No;1;Yes;No;Dsl;No;No;No;No;Yes;No;Month-to-month;Yes;Mailed check;53,55;53,55;26,775;53,55;2;0–12;1
No;Male;No;No;No;18;Yes;Yes;Dsl;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;53,88;56,25;28,125;969,85;2;13–24;0
No;Male;Yes;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);90,82;95,5;23,875;181,65;4;0–12;0
No;Female;No;No;No;13;Yes;No;Dsl;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;71,07;71,95;17,9875;923,85;4;13–24;0
No;Female;No;Yes;No;40;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;19,5;19,1;19,1;780,1;1;37–48;0
No;Female;Yes;No;No;17;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;19,45;20,65;20,65;330,6;1;13–24;0
No;Female;No;No;No;10;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;19,94;19,9;19,9;199,45;1;0–12;0
No;Male;No;Yes;Yes;61;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;102,32;99,9;24,975;6241,35;4;61–72;0
No;Male;No;No;No;27;Yes;Yes;Dsl;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;59,69;59,45;19,816666666666666;1611,65;3;25–36;0
No;Female;No;Yes;No;60;No;No;Dsl;Yes;Yes;No;Yes;No;No;Two year;No;Bank transfer (automatic);38,14;37,7;12,566666666666668;2288,7;3;49–60;0
No;Male;No;Yes;No;64;Yes;Yes;Dsl;Yes;No;No;No;Yes;No;One year;Yes;Credit card (automatic);68,63;66,15;22,05;4392,5;3;61–72;0
No;Female;No;No;No;28;Yes;No;Dsl;No;No;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);58,8;59,55;19,849999999999998;1646,45;3;25–36;0
Yes;Female;No;Yes;Yes;11;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;16,39;19,25;19,25;180,3;1;0–12;1
No;Male;No;Yes;Yes;34;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);100,29;97,7;24,425;3410,0;4;25–36;0
No;Female;Yes;No;No;36;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);73,87;74,9;74,9;2659,45;1;25–36;0
No;Male;No;No;No;35;No;No;Dsl;No;No;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;48,62;49,2;16,400000000000002;1701,65;3;25–36;0
No;Female;No;No;No;22;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Mailed check;27,54;26,25;26,25;605,9;1;13–24;0
Yes;Female;No;No;No;4;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;88,8;88,95;29,650000000000002;355,2;3;0–12;1
Yes;Female;No;Yes;Yes;4;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;95,32;85,95;42,975;381,3;2;0–12;1
No;Female;No;Yes;Yes;43;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;19,02;20,0;20,0;817,95;1;37–48;0
No;Male;No;Yes;Yes;70;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);20,83;20,35;20,35;1458,1;1;61–72;0
No;Female;No;No;Yes;15;Yes;No;Dsl;Yes;Yes;Yes;Yes;No;No;One year;No;Credit card (automatic);67,33;65,6;13,12;1010,0;5;13–24;0
No;Male;No;No;No;3;Yes;No;Dsl;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);65,22;64,4;16,1;195,65;4;0–12;0
Yes;Male;No;Yes;Yes;7;Yes;No;Dsl;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;48,61;48,7;24,35;340,25;2;0–12;1
Yes;Male;Yes;No;No;35;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,89;101,4;25,35;3496,3;4;25–36;1
Yes;Female;No;Yes;No;2;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);40,28;44,6;44,6;80,55;1;0–12;1
No;Male;No;No;Yes;29;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;18,45;19,85;19,85;535,05;1;25–36;0
No;Male;No;No;No;72;No;No;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);62,01;63,7;10,616666666666667;4464,8;6;61–72;0
Yes;Female;No;No;No;27;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;100,91;94,55;31,516666666666666;2724,6;3;25–36;1
No;Female;No;Yes;No;71;Yes;No;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);84,07;84,4;12,057142857142859;5969,3;7;61–72;0
No;Female;No;No;No;30;Yes;No;Dsl;Yes;Yes;Yes;Yes;Yes;No;One year;No;Credit card (automatic);76,95;74,65;12,441666666666668;2308,6;6;25–36;0
No;Male;Yes;Yes;No;19;No;No;Dsl;No;Yes;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);30,38;34,3;17,15;577,15;2;13–24;0
No;Male;No;Yes;Yes;56;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);25,04;24,15;24,15;1402,25;1;49–60;0
No;Male;No;Yes;No;36;Yes;No;No;No;No;No;No;No;No;One year;No;Bank transfer (automatic);20,0;20,85;20,85;720,05;1;25–36;0
No;Female;No;Yes;Yes;57;Yes;Yes;Dsl;Yes;Yes;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);64,7;65,2;16,3;3687,85;4;49–60;0
No;Male;No;No;No;3;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;69,13;69,6;69,6;207,4;1;0–12;0
No;Female;No;Yes;No;52;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);98,81;102,7;20,54;5138,1;5;49–60;0
No;Female;No;No;No;2;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;20,45;20,0;20,0;40,9;1;0–12;0
No;Male;No;No;No;17;No;No;Dsl;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);22,52;25,1;;382,8;0;13–24;0
Yes;Male;Yes;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;75,35;75,35;75,35;75,35;1;0–12;1
No;Male;Yes;No;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;95,64;95,9;23,975;6503,2;4;61–72;0
No;Male;No;No;No;57;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;19,63;20,75;20,75;1118,8;1;49–60;0
No;Male;No;Yes;Yes;72;Yes;Yes;Dsl;Yes;No;No;No;No;No;Two year;No;Bank transfer (automatic);55,33;55,3;27,65;3983,6;2;61–72;0
No;Male;No;No;No;26;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;87,75;84,3;28,099999999999998;2281,6;3;25–36;0
No;Male;No;No;Yes;14;Yes;No;Dsl;Yes;Yes;Yes;Yes;No;Yes;Two year;No;Bank transfer (automatic);75,34;76,1;12,683333333333332;1054,8;6;13–24;0
No;Female;No;No;No;30;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;103,23;100,45;25,1125;3096,9;4;25–36;0
No;Male;No;No;No;66;No;No;Dsl;No;No;No;Yes;No;No;One year;No;Credit card (automatic);30,05;29,45;29,45;1983,15;1;61–72;0
No;Male;No;Yes;No;49;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);96,59;93,85;23,4625;4733,1;4;49–60;0
No;Female;No;Yes;Yes;15;Yes;No;No;No;No;No;No;No;No;One year;No;Credit card (automatic);22,4;20,35;20,35;335,95;1;13–24;0
No;Male;No;Yes;No;71;Yes;Yes;Dsl;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);83,9;84,2;14,033333333333333;5956,85;6;61–72;0
No;Female;No;No;No;39;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);19,55;20,7;20,7;762,45;1;37–48;0
No;Female;No;Yes;Yes;67;No;No;Dsl;Yes;Yes;Yes;Yes;Yes;No;Two year;No;Credit card (automatic);54,09;54,2;10,84;3623,95;5;61–72;0
No;Male;No;Yes;Yes;31;Yes;No;Dsl;No;No;Yes;Yes;No;No;Month-to-month;No;Mailed check;53,13;54,35;18,116666666666667;1647,0;3;25–36;0
Yes;Female;No;No;No;50;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check;111,02;109,65;18,275000000000002;5551,15;6;49–60;1
No;Male;No;No;No;13;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;18,74;19,95;19,95;243,65;1;13–24;0
No;Male;No;Yes;Yes;47;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;Yes;One year;Yes;Electronic check;93,44;96,1;19,22;4391,45;5;37–48;0
Yes;Male;No;No;No;10;No;No;Dsl;No;No;Yes;No;No;No;Month-to-month;No;Mailed check;25,52;29,5;29,5;255,25;1;0–12;1
No;Male;No;Yes;No;23;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Electronic check;85,57;84,25;28,083333333333332;1968,1;3;13–24;0
No;Male;No;Yes;Yes;57;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;18,62;19,4;19,4;1061,6;1;49–60;0
No;Female;No;Yes;No;56;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);87,55;85,6;42,8;4902,8;2;49–60;0
No;Female;No;No;No;10;Yes;Yes;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;27,01;24,5;24,5;270,15;1;0–12;0
No;Female;No;Yes;Yes;30;Yes;No;Dsl;Yes;No;No;Yes;No;Yes;Month-to-month;No;Bank transfer (automatic);64,12;66,3;16,575;1923,5;4;25–36;0
No;Male;Yes;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;84,78;84,85;42,425;3645,6;2;37–48;0
Yes;Female;Yes;No;No;54;Yes;Yes;Dsl;Yes;Yes;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);80,56;82,45;13,741666666666667;4350,1;6;49–60;1
No;Female;No;Yes;Yes;9;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;71,94;75,85;37,925;647,5;2;0–12;0
No;Male;No;No;No;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;84,18;81,3;40,65;2272,8;2;25–36;0
No;Female;No;No;No;20;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);17,38;18,9;18,9;347,65;1;13–24;0
Yes;Male;No;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;64,44;69,35;69,35;451,1;1;0–12;1
Yes;Male;No;No;No;6;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;No;Electronic check;45,16;44,75;44,75;270,95;1;0–12;1
No;Male;No;Yes;Yes;51;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;One year;No;Credit card (automatic);111,5;110,05;18,341666666666665;5686,4;6;49–60;0
Yes;Male;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);70,35;70,7;70,7;140,7;1;0–12;1
Yes;Male;Yes;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;20,05;20,05;20,05;20,05;1;0–12;1
No;Female;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70,7;70,7;70,7;70,7;1;0–12;0
No;Female;No;No;No;38;Yes;Yes;Dsl;Yes;Yes;Yes;No;Yes;Yes;One year;No;Bank transfer (automatic);83,89;84,1;14,016666666666666;3187,65;6;37–48;0
No;Male;No;No;No;11;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;78,76;75,9;37,95;866,4;2;0–12;0
No;Female;No;No;No;56;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;105,61;106,8;21,36;5914,4;5;49–60;0
No;Female;No;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);113,65;113,65;16,235714285714288;8182,75;7;61–72;0
No;Female;No;No;No;13;Yes;No;No;No;No;No;No;No;No;One year;No;Mailed check;21,02;20,2;20,2;273,25;1;13–24;0
No;Female;No;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;75,55;75,55;37,775;75,55;2;0–12;0
No;Female;No;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);68,22;69,2;69,2;477,55;1;0–12;0
No;Female;No;Yes;No;51;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Mailed check;25,12;25,5;25,5;1281,25;1;49–60;0
No;Female;Yes;Yes;No;29;No;No;Dsl;Yes;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;42,37;45,0;15,0;1228,65;3;25–36;0
Yes;Male;Yes;No;Yes;1;Yes;No;Dsl;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;50,15;50,15;25,075;50,15;2;0–12;1
Yes;Male;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;20,6;20,6;20,6;20,6;1;0–12;1
No;Male;No;No;No;26;Yes;No;Dsl;Yes;No;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);73,4;75,0;15,0;1908,35;5;25–36;0
Yes;Male;No;No;No;3;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);107,75;105,35;21,07;323,25;5;0–12;1
Yes;Male;No;No;Yes;1;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;75,35;75,35;37,675;75,35;2;0–12;1
No;Female;No;Yes;Yes;67;Yes;Yes;Fiber optic;Yes;No;No;Yes;Yes;Yes;Two year;No;Credit card (automatic);104,62;106,7;21,34;7009,5;5;61–72;0
No;Female;No;Yes;No;65;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106,38;105,05;21,009999999999998;6914,95;5;61–72;0
No;Female;No;No;Yes;43;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);105,4;106,0;17,666666666666668;4532,3;6;37–48;0
Yes;Female;No;No;No;39;No;No;Dsl;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;51,57;50,75;16,916666666666668;2011,4;3;37–48;1
No;Female;No;Yes;Yes;9;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;21,23;20,35;20,35;191,1;1;0–12;0
No;Male;No;Yes;Yes;30;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Bank transfer (automatic);85,67;83,55;27,849999999999998;2570,2;3;25–36;0
No;Female;No;Yes;Yes;32;Yes;No;Dsl;Yes;Yes;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);58,27;61,4;15,35;1864,65;4;25–36;0
No;Male;No;Yes;Yes;25;Yes;No;Dsl;No;Yes;Yes;No;No;No;One year;No;Mailed check;54,22;53,65;17,883333333333333;1355,45;3;25–36;0
No;Male;No;No;No;13;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;20,44;19,75;19,75;265,75;1;13–24;0
No;Female;No;Yes;No;3;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;15,25;19,9;19,9;45,75;1;0–12;0
No;Male;No;No;No;2;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;18,4;20,25;20,25;36,8;1;0–12;0
No;Male;No;Yes;Yes;67;Yes;No;Dsl;Yes;Yes;No;No;No;No;Two year;Yes;Bank transfer (automatic);57,29;54,2;18,066666666666666;3838,2;3;61–72;0
No;Male;Yes;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;107,22;108,45;18,075;7076,35;6;61–72;0
No;Female;No;Yes;Yes;4;Yes;No;Dsl;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;54,28;50,3;25,15;217,1;2;0–12;0
No;Female;No;Yes;Yes;50;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);80,84;80,05;13,341666666666667;4042,2;6;49–60;0
Yes;Female;No;No;No;60;No;No;Dsl;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;50,46;50,8;16,933333333333334;3027,4;3;49–60;1
No;Male;No;No;No;64;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);107,65;104,65;20,93;6889,8;5;61–72;0
No;Female;No;No;No;59;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Electronic check;25,31;24,45;24,45;1493,1;1;49–60;0
No;Male;No;No;No;51;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);81,36;83,4;41,7;4149,45;2;49–60;0
Yes;Female;No;No;No;1;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;45,3;45,3;45,3;45,3;1;0–12;1
No;Female;No;No;No;10;Yes;No;Dsl;No;Yes;No;Yes;No;Yes;One year;No;Mailed check;68,55;64,9;16,225;685,55;4;0–12;0
No;Female;No;Yes;Yes;17;Yes;No;Dsl;Yes;No;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);54,15;55,35;18,45;920,5;3;13–24;0
